Database	N	Allele	AMEL	D3S1358	vWA	D16S539	D2S1338	D8S1179	D21S11	D18S51	D19S433	TH01	FGA	D12S391	D1S1656	D22S1045	D2S441	D10S1248	SE33
SGM Norway	1000	X	0.501																
SGM Norway	1000	Y	0.499																
SGM Norway	1000	5										0.005							
SGM Norway	1000	6										0.209							
SGM Norway	1000	7										0.197							
SGM Norway	1000	8				0.012		0.01				0.085							
SGM Norway	1000	9				0.144		0.008		0.001		0.143							
SGM Norway	1000	9.3										0.354							
SGM Norway	1000	10				0.055		0.083		0.013	0.001	0.007							
SGM Norway	1000	11		0.007		0.3		0.076		0.004	0.003								
SGM Norway	1000	12				0.294		0.135		0.126	0.064								
SGM Norway	1000	12.2									0.001								
SGM Norway	1000	13		0.003		0.165		0.338		0.128	0.234								
SGM Norway	1000	13.2									0.015								
SGM Norway	1000	14		0.129	0.087	0.027		0.23		0.196	0.352								
SGM Norway	1000	14.2									0.017								
SGM Norway	1000	15		0.27	0.077	0.003		0.096		0.143	0.184								
SGM Norway	1000	15.2									0.042								
SGM Norway	1000	16		0.23	0.202		0.044	0.022		0.128	0.054		0.001						
SGM Norway	1000	16.2									0.018								
SGM Norway	1000	17		0.203	0.308		0.206	0.002		0.097	0.01								
SGM Norway	1000	17.2									0.004								
SGM Norway	1000	18		0.143	0.214		0.094			0.068			0.02						
SGM Norway	1000	18.2									0.001								
SGM Norway	1000	19		0.015	0.093		0.099			0.054			0.064						
SGM Norway	1000	20			0.018		0.148			0.023			0.16						
SGM Norway	1000	20.2											0.001						
SGM Norway	1000	21			0.001		0.028			0.01			0.176						
SGM Norway	1000	21.2											0.002						
SGM Norway	1000	22					0.029			0.004			0.181						
SGM Norway	1000	22.2											0.011						
SGM Norway	1000	23					0.096			0.003			0.123						
SGM Norway	1000	23.2							0.001				0.006						
SGM Norway	1000	24					0.102			0.001			0.129						
SGM Norway	1000	24.2											0.001						
SGM Norway	1000	25					0.123			0.001			0.084						
SGM Norway	1000	25.2											0.001						
SGM Norway	1000	26					0.024		0.002				0.035						
SGM Norway	1000	27					0.007		0.043				0.002						
SGM Norway	1000	28							0.168				0.002						
SGM Norway	1000	29							0.216				0.001						
SGM Norway	1000	29.2							0.001										
SGM Norway	1000	30							0.258										
SGM Norway	1000	30.2							0.034										
SGM Norway	1000	31							0.073										
SGM Norway	1000	31.2							0.079										
SGM Norway	1000	32							0.019										
SGM Norway	1000	32.2							0.078										
SGM Norway	1000	33							0.001										
SGM Norway	1000	33.2							0.026										
SGM Norway	1000	34.2							0.001										
ESX 17 Hill	1443	X	0.501																
ESX 17 Hill	1443	Y	0.499																
ESX 17 Hill	1443	5				0.0007						0.0014							
ESX 17 Hill	1443	6										0.203							
ESX 17 Hill	1443	6.3																	0.0003
ESX 17 Hill	1443	7										0.2879							0.0003
ESX 17 Hill	1443	8				0.0191		0.0111				0.1261				0.0017	0.0003	0.0007	0.0003
ESX 17 Hill	1443	9				0.1705		0.0042		0.0007	0.0003	0.183					0.0017	0.0007	
ESX 17 Hill	1443	9.1															0.0024		
ESX 17 Hill	1443	9.3										0.1916							
ESX 17 Hill	1443	10				0.1185		0.0804		0.0045	0.0049	0.0062			0.0069	0.0156	0.2131	0.0038	
ESX 17 Hill	1443	10.2																	0.0003
ESX 17 Hill	1443	11		0.0003	0.0021	0.2869		0.0662		0.0066	0.0253	0.0007			0.0513	0.1348	0.3271	0.0142	0.0003
ESX 17 Hill	1443	11.2																	0.0007
ESX 17 Hill	1443	11.3															0.0478		
ESX 17 Hill	1443	12		0.0017	0.001	0.2464		0.1341		0.0929	0.0776				0.0811	0.0218	0.1043	0.0731	0.0038
ESX 17 Hill	1443	12.2									0.0163								0.0014
ESX 17 Hill	1443	12.3															0.0045		
ESX 17 Hill	1443	13		0.0052	0.0038	0.1348		0.2703		0.1112	0.2505				0.0929	0.0042	0.0336	0.2699	0.0107
ESX 17 Hill	1443	13.2								0.0014	0.0367								0.0028
ESX 17 Hill	1443	13.3															0.0014		
ESX 17 Hill	1443	14		0.0911	0.0984	0.0225		0.2384		0.1376	0.297			0.0003	0.1424	0.0485	0.2263	0.3021	0.0295
ESX 17 Hill	1443	14.2								0.001	0.0509								0.0035
ESX 17 Hill	1443	14.3													0.0045		0.0003		
ESX 17 Hill	1443	15		0.3073	0.1234	0.0007	0.001	0.1393		0.1701	0.1178			0.0513	0.1681	0.3219	0.0353	0.1972	0.0353
ESX 17 Hill	1443	15.2		0.0003						0.0003	0.0613								0.0028
ESX 17 Hill	1443	15.3													0.0402				
ESX 17 Hill	1443	16		0.2796	0.2377		0.0381	0.0492		0.1403	0.0277			0.0371	0.1545	0.299	0.0014	0.1078	0.0499
ESX 17 Hill	1443	16.2								0.0007	0.0267		0.0003						0.0017
ESX 17 Hill	1443	16.3													0.0617				0.0007
ESX 17 Hill	1443	17		0.2024	0.262		0.1493	0.0055		0.1369	0.0017		0.0014	0.1133	0.0444	0.1396	0.0003	0.0274	0.071
ESX 17 Hill	1443	17.1												0.0014					
ESX 17 Hill	1443	17.2									0.0042		0.001						0.0003
ESX 17 Hill	1443	17.3												0.01	0.1022				0.0017
ESX 17 Hill	1443	18		0.1022	0.1771		0.0755	0.0014		0.0825			0.0146	0.2128	0.0062	0.0104		0.0021	0.0929
ESX 17 Hill	1443	18.1												0.0003					
ESX 17 Hill	1443	18.2									0.001		0.0049						
ESX 17 Hill	1443	18.3												0.0118	0.0357				0.0003
ESX 17 Hill	1443	19		0.0087	0.0793		0.149			0.0554			0.0589	0.1552	0.003	0.0024		0.001	0.0863
ESX 17 Hill	1443	19.1												0.0024					
ESX 17 Hill	1443	19.2											0.0017						0.0028
ESX 17 Hill	1443	19.3												0.0049	0.0073				
ESX 17 Hill	1443	20		0.001	0.0128		0.1272			0.0312			0.0863	0.1351					0.0748
ESX 17 Hill	1443	20.1												0.0007					
ESX 17 Hill	1443	20.2											0.0007						0.0069
ESX 17 Hill	1443	20.3												0.0003	0.0003				
