scope	order	key	value
addData_gui	1	strWinTitle 	Añadir datos
addData_gui	2	strChkGui	Guardar configuración de GUI
addData_gui	3	strBtnHelp	Ayuda
addData_gui	4	strFrmDataset	Conjuntos de datos
addData_gui	5	strLblDestination	Seleccionar destino de datos:
addData_gui	6	strDrpDefault	<Seleccionar columna>
addData_gui	7	strLblSamples	muestras
addData_gui	8	strLblSource	Seleccionar fuente de datos:
addData_gui	9	strFrmOptions	Opciones
addData_gui	10	strChkExact	Clave de match exacto
addData_gui	11	strChkIgnore	Ignorar mayúsculas y minúsculas en el nombre del marcador
addData_gui	12	strLblKey1	Seleccionar columna como clave principal:
addData_gui	13	strLblKey2	Seleccionar columna como clave secundaria (opcional):
addData_gui	14	strLblColumns	Seleccionar columnas para añadir a los nuevos datos:
addData_gui	15	strEdtMsg	Opción por defecto: todas las columnas
addData_gui	16	strFrmSave	Guardar como
addData_gui	17	strLblSave	Nombre para el resultado:
addData_gui	18	strBtnAdd	Añadir
addData_gui	19	 strBtnAddActive 	Procesando…
addData_gui	20	strMsgDataset	Se debe seleccionar destino y fuente.
addData_gui	21	 strMsgTitle 	Conjuntos de datos no seleccionados
addDye_gui	1	strWinTitle	Añadir marcaje a los datos
addDye_gui	2	strChkGui	Guardar configuración de GUI
addDye_gui	3	strBtnHelp	Ayuda
addDye_gui	4	strFrmDataset	Datos y kit
addDye_gui	5	strLblDataset	Conjunto de datos de muestras:
addDye_gui	6	strDrpDefault	<Seleccionar datos>
addDye_gui	7	strLblSamples	muestras
addDye_gui	8	strLblKit	Kit:
addDye_gui	9	strFrmOptions	Opciones
addDye_gui	10	strChkIgnore	Ignorar mayúsculas y minúsculas en el nombre del marcador
addDye_gui	11	strChkDye	Añadir información sobre el marcaje
addDye_gui	12	strChkColor	Añadir información sobre el color
addDye_gui	13	strChkR	Añadir información sobre el color de R
addDye_gui	14	strChkMarker	Añadir orden de marcadores
addDye_gui	15	strFrmSave	Guardar como
addDye_gui	16	strLblSave	Nombre del resultado:
addDye_gui	17	strBtnAdd	Añadir
addDye_gui	18	strBtnAddActive	Procesando…
addMarker_gui	1	strWinTitle	Añadir marcadores ausentes a los datos
addMarker_gui	2	strChkGui	Guardar configuración de GUI
addMarker_gui	3	strBtnHelp	Ayuda
addMarker_gui	4	strFrmDataset	Datos y kit
addMarker_gui	5	strLblDataset	Conjunto de datos de muestras:
addMarker_gui	6	strDrpDefault	<Seleccionar datos>
addMarker_gui	7	strLblSamples	muestras
addMarker_gui	8	strLblKit	Kit:
addMarker_gui	9	strFrmOptions	Opciones
addMarker_gui	10	strChkIgnore	Ignorar mayúsculas y minúsculas en el nombre del marcador
addMarker_gui	11	strFrmSave	Guardar como
addMarker_gui	12	strLblSave	Nombre del resultado:
addMarker_gui	13	strBtnAdd	Añadir
addMarker_gui	14	strBtnAddActive	Procesando…
addSize_gui	1	strWinTitle	Añadir tamaño a los datos
addSize_gui	2	strChkGui	Guardar configuración de GUI
addSize_gui	3	strBtnHelp	Ayuda
addSize_gui	4	strFrmDataset	Datos y kit
addSize_gui	5	strLblDataset	Conjunto de datos de muestras:
