scope	order	key	value
addData_gui	1	strWinTitle 	Aggiungi dati
addData_gui	2	strChkGui	Salva i settaggi dell'interfaccia grafica
addData_gui	3	strBtnHelp	Aiuto
addData_gui	4	strFrmDataset	Datasets
addData_gui	5	strLblDestination	Seleziona il dataset di destinazione:
addData_gui	6	strDrpDefault	<Selezionare colonna>
addData_gui	7	strLblSamples	campioni
addData_gui	8	strLblSource	Seleziona un dataset di origine:
addData_gui	9	strFrmOptions	Opzioni
addData_gui	10	strChkExact	Corrispondenza di chiave esatta
addData_gui	11	strChkIgnore	Ignora Maiuscole/minuscole nel nome del marker
addData_gui	12	strLblKey1	Seleziona una colonna come chiave primaria:
addData_gui	13	strLblKey2	Seleziona una colonna come chiave secondaria (opzionale):
addData_gui	14	strLblColumns	Seleziona colonne da aggiungere al nuovo dataset:
addData_gui	15	strEdtMsg	Opzione di default= tutte le colonne
addData_gui	16	strFrmSave	Salva come
addData_gui	17	strLblSave	Nome per il risultato:
addData_gui	18	strBtnAdd	Aggiungi
addData_gui	19	 strBtnAddActive 	In elaborazione?
addData_gui	20	strMsgDataset	Devono essere selezionati un dataset di origine ed uno di destinazione.
addData_gui	21	 strMsgTitle 	Dataset non selezionati
addDye_gui	1	strWinTitle	Aggiungi fluorocromo al dataset
addDye_gui	2	strChkGui	Salva i settaggi dell'interfaccia grafica
addDye_gui	3	strBtnHelp	Aiuto
addDye_gui	4	strFrmDataset	Dataset e kit
addDye_gui	5	strLblDataset	Dataset campioni:
addDye_gui	6	strDrpDefault	<Selezionare dataset>
addDye_gui	7	strLblSamples	campioni
addDye_gui	8	strLblKit	Kit:
addDye_gui	9	strFrmOptions	Opzioni
addDye_gui	10	strChkIgnore	Ignora Maiuscole/minuscole nel nome del marker
addDye_gui	11	strChkDye	Aggiungi l'informazione sul fluorocromo
addDye_gui	12	strChkColor	Aggiungi l'informazione sul colore
addDye_gui	13	strChkR	Aggiungi l'informazione sul colore di R
addDye_gui	14	strChkMarker	Aggiungi l'ordine dei marcatori
addDye_gui	15	strFrmSave	Salva come
addDye_gui	16	strLblSave	Nome per il risultato:
addDye_gui	17	strBtnAdd	Aggiungi
addDye_gui	18	strBtnAddActive	In elaborazione?
addMarker_gui	1	strWinTitle	Aggiungi i marcatori mancanti al dataset
addMarker_gui	2	strChkGui	Salva i settaggi dell'interfaccia grafica
addMarker_gui	3	strBtnHelp	Aiuto
addMarker_gui	4	strFrmDataset	Dataset e kit
addMarker_gui	5	strLblDataset	Dataset campioni:
addMarker_gui	6	strDrpDefault	<Selezionare dataset>
addMarker_gui	7	strLblSamples	campioni
addMarker_gui	8	strLblKit	Kit:
addMarker_gui	9	strFrmOptions	Opzioni
addMarker_gui	10	strChkIgnore	Ignora Maiuscole/minuscole nel nome del marker
addMarker_gui	11	strFrmSave	Salva come
addMarker_gui	12	strLblSave	Nome per il risultato:
addMarker_gui	13	strBtnAdd	Aggiungi
addMarker_gui	14	strBtnAddActive	In elaborazione?
addSize_gui	1	strWinTitle	Aggiungi il size al dataset
addSize_gui	2	strChkGui	Salva i settaggi dell'interfaccia grafica
addSize_gui	3	strBtnHelp	Aiuto
addSize_gui	4	strFrmDataset	Dataset e kit
addSize_gui	5	strLblDataset	Dataset campioni:
addSize_gui	6	strDrpDefault	<Selezionare dataset>
addSize_gui	7	strLblSamples	campioni
addSize_gui	8	strLblKit	Kit:
addSize_gui	9	strFrmOptions	Opzioni
addSize_gui	10	strRadItem1	Ottieni il size come definito nel file dei bin (NA significa non definito)
addSize_gui	11	strRadItem2	Calcola una stima dall'offset del locus e dal numero di ripetizioni
addSize_gui	12	strFrmSave	Salva come
addSize_gui	13	strLblSave	Nome per il risultato:
addSize_gui	14	strBtnAdd	Aggiungi
addSize_gui	15	strBtnProcessing	In elaborazione?
calculateAllele_gui	1	strWinTitle	Calcola la statistica riassuntiva per gli alleli
calculateAllele_gui	2	strChkGui	Salva i settaggi dell'interfaccia grafica
calculateAllele_gui	3	strBtnHelp	Aiuto
calculateAllele_gui	4	strFrmDataset	Dataset
calculateAllele_gui	5	strLblDataset	Dataset campioni:
calculateAllele_gui	6	strDrpDefault	<Selezionare dataset>
calculateAllele_gui	7	strLblRows	righe
calculateAllele_gui	8	strFrmOptions	Opzioni
calculateAllele_gui	9	strLblThreshold	Soglia altezza di picco:
calculateAllele_gui	10	strTipThreshold	Picchi con altezze inferiori a questo valore saranno rimossi.
calculateAllele_gui	11	strChkSexMarkers	Rimuovi i marcatori del sesso definiti nel kit: 
calculateAllele_gui	12	strFrmSave	Salva come
calculateAllele_gui	13	strLblSave	Nome per il risultato:
calculateAllele_gui	14	strBtnCalculate	Calcola
calculateAllele_gui	15	strMsgDataset	Seleziona un dataset!
calculateAllele_gui	16	strMsgTitleDataset	Errore
calculateAllT_gui	1	strWinTitle	Calcola le soglie stocastiche
calculateAllT_gui	2	strChkGui	Salva i settaggi dell'interfaccia grafica
calculateAllT_gui	3	strBtnHelp	Aiuto
calculateAllT_gui	4	strFrmDataset	Dataset e kit
calculateAllT_gui	5	strLblDataset	Dataset campioni:
calculateAllT_gui	6	strDrpDefault	<Selezionare dataset>
calculateAllT_gui	7	strLblSamples	campioni
calculateAllT_gui	8	strLblKit	Kit:
calculateAllT_gui	9	strFrmOptions	Opzioni
calculateAllT_gui	10	strLblT	Calcola stime puntuali a P(dropout)=
calculateAllT_gui	11	strLblTcons	Calcola una stima puntuale conservativa a P(dropout>
calculateAllT_gui	12	strChkSexMarkers	Rimuovi i marcatori del sesso
calculateAllT_gui	13	strFrmSave	Salva come
calculateAllT_gui	14	strLblSave	Nome per il risultato:
calculateAllT_gui	15	strBtnCalculate	Calcola
calculateAllT_gui	16	strBtnCalculateActive	In elaborazione?
calculateAT_gui	1	strWinTitle	Calcola la soglia analitica
calculateAT_gui	2	strChkGui	Salva i settaggi dell'interfaccia grafica
calculateAT_gui	3	strBtnHelp	Aiuto
calculateAT_gui	4	strFrmDataset	Datasets
calculateAT_gui	5	strLblDataset	Dataset campioni:
calculateAT_gui	6	strDrpDefault	<Selezionare dataset>
calculateAT_gui	7	strLblSamples	campioni
calculateAT_gui	8	strLblDatasetRef	Dataset dei reference:
calculateAT_gui	9	strLblRef	campioni reference
calculateAT_gui	10	strBtnCheck	Controllo del subsetting
calculateAT_gui	11	strLblKit	Kit:
calculateAT_gui	12	strTipKit	Usato solo per ombreggiare gli intervalli mascherati nel grafico.
calculateAT_gui	13	strFrmOptions	Opzioni
calculateAT_gui	14	strChkIgnore	Ignora Maiuscole/minuscole
calculateAT_gui	15	strChkWord	Aggiungi i limiti/confini delle parole
calculateAT_gui	16	strChkMaskHigh	Maschera i picchi alti
calculateAT_gui	17	strLblMaskHigh	Maschera tutti i picchi superiori a (RFU): 
calculateAT_gui	18	strChkMaskAllele	maschera gli alleli del campione
calculateAT_gui	19	strLblDpAllele	Intervallo (data points) intorno agli alleli noti:
calculateAT_gui	20	strChkMaskDye	maschera gli alleli del campione per fluorocromo
calculateAT_gui	21	strChkILS	maschera i picchi di ILS
calculateAT_gui	22	strLblDpPeak	Intervallo (data points) intorno al picco noto: 
calculateAT_gui	23	strLblConf	Livello di confidenza 'k' (AT1 AT7):
calculateAT_gui	24	strLblRank	Soglia per il rank dei percentili (AT2): 
calculateAT_gui	25	strLblAlpha	Livello superiore di confidenza 'alpha' (AT4): 
calculateAT_gui	26	strFrmPrepare	Prepara i dati e controlla il mascheramento
