Scope	Order	Key	Value
addData_gui	1	strWinTitle 	Lägg till data
addData_gui	2	strChkGui	Spara GUI inställningar
addData_gui	3	strBtnHelp	Hjälp
addData_gui	4	strFrmDataset	Datasett
addData_gui	5	strLblDestination	Välj destinationsdataset
addData_gui	6	strDrpDefault	<Välj kolumn>
addData_gui	7	strLblSamples	Prover
addData_gui	8	strLblSource	Välj källdataset
addData_gui	9	strFrmOptions	Alternativ
addData_gui	10	strChkExact	Exakt nyckelmatchning
addData_gui	11	strChkIgnore	Ignorera skiftläge
addData_gui	12	strLblKey1	Välj primär nyckelkolumn:
addData_gui	13	strLblKey2	Välj sekundär nyckelkolumn (valfritt):
addData_gui	14	strLblColumns	Välj kolumner att lägga till det nya datasettet:
addData_gui	15	strEdtMsg	Förval är alla kolumner
addData_gui	16	strFrmSave	Spara som
addData_gui	17	strLblSave	Namn för resultat:
addData_gui	18	strBtnAdd	Lägg till ny data
addData_gui	19	 strBtnAddActive 	Processerar...
addData_gui	20	 strMsgTitle 	Inga dataset valt
addDye_gui	1	strWinTitle	Legg til dye till dataset
addDye_gui	2	strChkGui	Spara GUI inställningar
addDye_gui	3	strBtnHelp	Hjälp
addDye_gui	4	strFrmDataset	Dataset och kitt
addDye_gui	5	strLblDataset	Välj dataset:
addDye_gui	6	strDrpDefault	<Välj dataset>
addDye_gui	7	strLblSamples	Prover
addDye_gui	8	strLblKit	Kitt:
addDye_gui	9	strFrmOptions	Alternativ
addDye_gui	10	strChkIgnore	Ignorera skiftläge i markörnamn.
addDye_gui	11	strChkDye	Lägg til dye information.
addDye_gui	12	strChkColor	Lägg till färger.
addDye_gui	13	strChkR	Lägg till R färger.
addDye_gui	14	strChkMarker	Lägg till markörordning.
addDye_gui	15	strFrmSave	Spara som
addDye_gui	16	strLblSave	Namn för resultat:
addDye_gui	17	strBtnAdd	Lägg till
addDye_gui	18	strBtnAddActive	Processerar...
addSize_gui	1	strWinTitle	Lägg till fragmentstorlek till datasett
addSize_gui	2	strChkGui	Spara GUI inställningar
addSize_gui	3	strBtnHelp	Hjälp
addSize_gui	4	strFrmDataset	Datasett och kitt
addSize_gui	5	strLblDataset	Välj dataset:
addSize_gui	6	strDrpDefault	<Välj dataset>
addSize_gui	7	strLblSamples	Prover
addSize_gui	8	strLblKit	Kitt:
addSize_gui	9	strFrmOptions	Alternativ
addSize_gui	10	strRadItem1	Använd fragmentstorleken som definerats i bins-filen (NA om odefinerad)
addSize_gui	11	strRadItem2	Uppskatta fragmentstorleken från locus offset och antal repeterade enheter
addSize_gui	12	strFrmSave	Spara som
addSize_gui	13	strLblSave	Namn för resultat:
addSize_gui	14	strBtnAdd	Lägg till
addSize_gui	15	strBtnAddActive	Processerar...
calculateAllele_gui	1	strWinTitle	Beräkna statistik for alleler
calculateAllele_gui	2	strChkGui	Spara GUI inställningar
calculateAllele_gui	3	strBtnHelp	Hjälp
calculateAllele_gui	4	strFrmDataset	Dataset
calculateAllele_gui	5	strLblDataset	Välj dataset:
calculateAllele_gui	6	strDrpDefault	<Välj dataset>
calculateAllele_gui	7	strLblRows	rader
calculateAllele_gui	8	strFrmOptions	Alternativ
calculateAllele_gui	9	strLblThreshold	Gränsvärde för topphöjder:
calculateAllele_gui	10	strTipThreshold	Toppar med höjder under detta värde kommer att tas bort.
calculateAllele_gui	11	strChkSexMarkers	Ta bort könsmarkörer definerade i kit: 
calculateAllele_gui	12	strFrmSave	Spara som
calculateAllele_gui	13	strLblSave	Namn för resultat:
calculateAllele_gui	14	strBtnCalculate	Beräkna
calculateAllele_gui	15	strMsgMessage	Välj ett dataset!
calculateAllele_gui	16	strMsgTitle	Error
calculateAllT_gui	1	strWinTitle	Beräkna stokastisk gränsvärde
calculateAllT_gui	2	strChkGui	Spara GUI inställningar
calculateAllT_gui	3	strBtnHelp	Hjälp
calculateAllT_gui	4	strFrmDataset	Dataset och kitt
calculateAllT_gui	5	strLblDataset	Välj dataset:
calculateAllT_gui	6	strDrpDefault	<Välj dataset>
calculateAllT_gui	7	strLblSamples	Prover
calculateAllT_gui	8	strLblKit	Kitt:
calculateAllT_gui	9	strFrmOptions	Alternativ
calculateAllT_gui	10	strLblT	Beräkna punktestimat för P(dropout)=
calculateAllT_gui	11	strLblTcons1	Beräkna konservativt punktestimat för P(dropout>
calculateAllT_gui	12	strLblTcons2	)<
calculateAllT_gui	13	strChkSex	Ta bort könsmarkörer
calculateAllT_gui	14	strFrmSave	Spara som
calculateAllT_gui	15	strLblSave	Namn för resultat:
calculateAllT_gui	16	strBtnCalculate	Beräkna
calculateAllT_gui	17	strBtnCalculateActive	Processerar...
